,rua,metro_quadrado,quartos,garagens,banheiros,preco,id,scrapy_datetime,lat,lon
0,"            Avenida Nápoles, Fragoso",        38 - 43 ,2,1,1,150490,2481142874,2022-05-08 20:08:48,-7.9669816,-34.8549883
1,"            Rua da Aurora, Tabajara",        48 ,2,1,1,180000,2561186218,2022-05-08 20:08:48,-8.056671,-34.8782136
2,"            Avenida Antônio Cabral de Souza, Maranguape I",        40 ,2,1,1,161690,2469984286,2022-05-08 20:08:48,-7.9442661,-34.8678434
3,"            Rua Otaviano Pessoa Monteiro, Casa Caiada",        260 ,5,2,5,740000,2490994842,2022-05-08 20:08:48,-7.9892805,-34.8399215
4,"            Rua Manuel dos Santos Moreira, Casa Caiada",        118 ,3,1,3,370000,2560615833,2022-05-08 20:08:48,-7.9890199,-34.8419815
5,"            Rua Cardeal, Ouro Preto",        200 ,5,1,4,400000,2552509365,2022-05-08 20:08:48,-7.9942007,-34.8647955
6,"            Avenida Brasil, Rio Doce",        200 ,3,3,3,290000,2561891963,2022-05-08 20:08:48,-7.95946,-34.8465666
7,"            Rua Onze, Rio Doce",        100 ,3,3,2,230000,2561052858,2022-05-08 20:08:48,-7.9634049,-34.8459685
8,"            Avenida Jules Rimet, Rio Doce",        80 ,3,2,2,220000,2561384100,2022-05-08 20:08:48,-7.9626439,-34.8396462
9,"            Avenida Governador Carlos de Lima Cavalcante, Casa Caiada",        100 ,3,2,1,590000,2561585059,2022-05-08 20:08:48,-7.9824958,-34.8375212
10,"            Avenida Doutor José Augusto Moreira, Casa Caiada",        67 ,1,1,1,420000,2561573956,2022-05-08 20:08:48,-7.9848483,-34.8380293
11,"            Jardim Brasil, Olinda",        95 ,3,1,2,170000,2561201071,2022-05-08 20:08:48,-8.0039768,-34.8709438
12,"            Rua Hélio Rodrigues Cardoso, Bultrins",        112 ,3,1,2,350000,2561641237,2022-05-08 20:08:48,-7.9975759,-34.84776
13,"            Rio Doce, Olinda",        78 ,2,1,2,250000,2554421126,2022-05-08 20:08:48,-7.9661053,-34.8322058
14,"            Rua Pereira Simões, Bairro Novo",        118 ,5,2,4,800000,2561592110,2022-05-08 20:08:48,-8.0005265,-34.8434549
15,"            Rua Coronel João Ribeiro, Bairro Novo",        106 ,3,2,2,300000,2560946759,2022-05-08 20:08:48,-8.0007627,-34.8421559
16,"            Avenida Ministro Marcos Freire, Casa Caiada",        133 ,4,2,4,940000,2561789786,2022-05-08 20:08:48,-7.9811394,-34.8352712
17,"            Rua Beliro Dourado, Jardim Atlântico",        60 ,2,1,1,154990,2553565221,2022-05-08 20:08:48,-7.9751353,-34.8491577
18,"            Rua José Soriano, Bairro Novo",        154 ,6,3,,550000,2558132054,2022-05-08 20:08:48,,
19,"            Rua Caruaru, Jardim Brasil",        100 ,3,2,2,180000,2561689179,2022-05-08 20:08:48,-8.0024298,-34.8725029
20,"            Rua Doutor Manoel de Barros Lima, Bairro Novo",        63 ,2,1,2,175000,2561531506,2022-05-08 20:08:48,-7.9960147,-34.8429804
21,"            Rua Maria da Conceição Viana, Rio Doce",        41 ,2,1,2,239900,2561723059,2022-05-08 20:08:48,-7.9689891,-34.8354512
22,"            Avenida Pau-brasil, Rio Doce",        60 ,2,1,1,85000,2549297101,2022-05-08 20:08:48,-7.9683225,-34.8497034
23,"            Rua Coronel José Cipriano da Silva, Rio Doce",        55 ,2,2,2,235000,2427447485,2022-05-08 20:08:48,-7.9649507,-34.8313592
24,"            Rua Gonçalves Dias, Campo Grande",        46 ,2,        1 - 2 ,2,285000,2474977973,2022-05-08 20:08:48,-8.035153,-34.8772041
25,"            Rua Marechal Deodoro, Encruzilhada",        27 - 29 ,1,,,199000,2513548941,2022-05-08 20:08:48,-8.037319,-34.8848487
26,"            Rua Othon Paraíso, Torreão",        44 - 75 ,        2 - 3 ,1,1,287000,2561183889,2022-05-08 20:08:48,-8.0390041,-34.8835829
27,"            Avenida Ministro Marcos Freire, Casa Caiada",        100 ,3,2,2,941000,2560944108,2022-05-08 20:08:48,-7.9811394,-34.8352712
28,"            Rua da Comunicação, Passarinho",        200 ,,,,105000,2559341188,2022-05-08 20:08:48,-7.9845668,-34.9145405
29,"            Rua Cardeal, Ouro Preto",        200 ,5,1,4,400000,2552509365,2022-05-08 20:08:48,-7.9942007,-34.8647955
30,"            Avenida Ministro Marcos Freire, Casa Caiada",        76 ,3,1,3,600000,2561499935,2022-05-08 20:08:48,-7.9811394,-34.8352712
31,"            Rua José Alexandre de Carvalho, Fragoso",        60 ,2,1,1,150000,2561015280,2022-05-08 20:08:48,-7.984358,-34.8526856
32,"            Rua José Maurício Viana, Jardim Atlântico",        150 ,3,1,3,260000,2042625475,2022-05-08 20:08:48,-7.9744465,-34.8389467
33,"            Rua do Sol, Carmo",        180 ,3,3,3,550000,2561702257,2022-05-08 20:08:48,-21.9314728,-42.6076037
34,"            Fragoso, Olinda",        57 ,2,1,1,180000,2543095343,2022-05-08 20:08:48,-7.9842603,-34.8520068
35,"            Rua Antônio Martiniano de Barros, Fragoso",        54 ,2,1,2,184999,2542986830,2022-05-08 20:08:48,-7.9916737,-34.8459024
36,"            Rua Djalma Dutra, Salgadinho",        150 ,3,2,3,400000,2538363498,2022-05-08 20:08:48,-8.0260799,-34.8695389
37,"            Rua Ulisses Tenório de Albuquerque, Casa Caiada",        62 ,3,1,2,365904,2458284381,2022-05-08 20:08:48,-7.9827993,-34.8384556
38,"            Avenida da Asa Branca, Rio Doce",        50 ,2,1,1,175000,2561777992,2022-05-08 20:08:48,-7.9571815,-34.8454746
39,"            Rua Professor Marculino Botelho, Bairro Novo",        102 ,3,2,2,410000,2561505651,2022-05-08 20:08:48,-7.9931262,-34.8394801
40,"            Rua Açucena, Fragoso",        50 ,2,1,1,170000,2553224816,2022-05-08 20:08:48,,
41,"            Avenida Doutor Joaquim Nabuco, Bultrins",        66 ,3,1,1,215000,2561549694,2022-05-08 20:08:48,-7.9964343,-34.8551863
42,"            Avenida Ministro Marcos Freire, Casa Caiada",        77 ,3,2,3,380000,2560615038,2022-05-08 20:08:48,-7.9811394,-34.8352712
43,"            Avenida Governador Carlos de Lima Cavalcante, Casa Caiada",        68 ,2,1,2,299000,2560358945,2022-05-08 20:08:48,-7.9824958,-34.8375212
44,"            Jardim Atlântico, Olinda",        80 ,2,2,1,270000,2542011575,2022-05-08 20:08:48,-7.9753891,-34.8459936
45,"            Avenida Governador Carlos de Lima Cavalcante, Rio Doce",        55 ,2,1,1,186360,2557084814,2022-05-08 20:08:48,-7.9643799,-34.8318207
46,"            Casa Caiada, Olinda",        67 ,2,1,2,310000,2560220725,2022-05-08 20:08:48,-7.9835463,-34.8389609
47,"            Rua Delmiro Monteiro da Purificação, Jardim Atlântico",        112 ,3,2,3,365000,2560338356,2022-05-08 20:08:48,-7.9711973,-34.8378979
48,"            Rua Othon Paraíso, Torreão",        44 - 75 ,        2 - 3 ,1,1,287000,2561183889,2022-05-08 20:08:48,-8.0390041,-34.8835829
49,"            Rua André Gide, Encruzilhada",        60 ,2,1,2,330041,2442779379,2022-05-08 20:08:48,-8.0314408,-34.8907565
